model,model_label,attack_type,n_arcshield,n_no_defense,asr_arcshield,asr_no_defense,refusal_rate_arcshield,refusal_rate_no_defense,latency_overall_ms_arcshield,latency_overall_ms_no_defense,latency_refused_ms_arcshield,latency_refused_ms_no_defense,latency_answered_ms_arcshield,latency_answered_ms_no_defense,completion_tokens_mean_arcshield,completion_tokens_mean_no_defense,completion_tokens_refused_mean_arcshield,completion_tokens_refused_mean_no_defense,completion_tokens_answered_mean_arcshield,completion_tokens_answered_mean_no_defense,asr_reduction_absolute,asr_reduction_relative,benign_refusal_rate,false_flag_rate,benign_n,pareto_arcshield,pareto_no_defense
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Accidental Context Leakage,200.0,200.0,0.165,0.185,0.48,0.265,21687.67865,27157.733500000002,15683.960208333332,14835.591132075473,27229.572596153845,31600.41068027211,455.265,571.31,331.8333333333333,422.8679245283019,569.2019230769231,624.8299319727892,0.01999999999999999,0.10810810810810806,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Attention Shifting,200.0,200.0,0.375,0.68,0.505,0.26,171395.4285,27820.49435,134772.33306930691,15198.844615384616,208758.38444444447,32255.128040540534,444.775,662.925,277.0495049504951,449.9423076923077,615.8888888888889,737.7567567567568,0.30500000000000005,0.4485294117647059,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Code Injection,200.0,200.0,0.065,0.125,0.345,0.17,21984.63145,157280.83155,11065.52811594203,17254.95588235294,27735.91488549618,185960.8301807229,355.735,540.945,307.81159420289856,507.3529411764706,380.9770992366412,547.8253012048193,0.06,0.48,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Dictionary Attack,200.0,200.0,0.115,0.275,0.49,0.185,13065.1641,25715.17395,10721.089387755103,13021.473783783782,15317.31431372549,28596.566012269937,356.34,558.44,306.46938775510205,379.35135135135135,404.2549019607843,599.0920245398773,0.16000000000000003,0.5818181818181819,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Direct Exploitation,200.0,200.0,0.145,0.505,0.79,0.275,10050.95435,20915.1258,9030.603734177215,15629.457272727272,13889.41619047619,22920.03455172414,266.675,615.36,236.5632911392405,466.1818181818182,379.95238095238096,671.9448275862069,0.36,0.7128712871287128,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Fill-in-the-Blank Attack,200.0,200.0,0.19,0.085,0.2,0.075,55670.34015,60136.63410000001,23223.181000000004,21015.474,63782.129937499994,63308.62005405405,582.775,643.55,472.75,552.2666666666667,610.28125,650.9513513513514,-0.105,-1.2352941176470587,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Hypothetical Manipulation,200.0,200.0,0.595,0.79,0.285,0.07,18810.701100000002,33396.1602,12851.896140350878,131632.03499999997,21185.889090909088,26002.06209677419,519.67,744.165,357.9824561403509,566.0714285714286,584.1188811188811,757.5698924731183,0.19500000000000006,0.24683544303797475,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Indirect Injection,200.0,200.0,0.075,0.205,0.73,0.235,84538.3656,28468.448599999992,110916.33801369862,15161.974893617018,13220.143888888892,32556.058169934637,319.275,558.61,290.2945205479452,444.21276595744683,397.6296296296296,593.7516339869281,0.13,0.6341463414634146,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Jailbreaks,200.0,200.0,0.11,0.26,0.515,0.13,37088.249050000006,20724.76115,16241.529223300975,15871.23076923077,59224.456701030926,21450.001321839078,368.455,599.8,298.94174757281553,428.84615384615387,442.2680412371134,625.3448275862069,0.15000000000000002,0.576923076923077,0.035,0.23,200,False,False
cloudflare_cf_deepseek_ai_deepseek_r1_distill_qwen_32b,CLOUDFLARE DEEPSEEK,Logic Trap Attacks,200.0,200.0,0.46,0.82,0.54,0.18,13442.86385,36689.3734,12016.679814814815,16805.88861111111,15117.079891304345,41054.04079268292,383.215,622.96,339.6759259259259,485.3888888888889,434.32608695652175,653.1585365853658,0.35999999999999993,0.4390243902439024,0.035,0.23,200,False,False
